! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:41:57 PM
! D:\MESURE_MONTURE_07092022\LIGNE_25MM_VIDE.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001000000    -0.0000842    0.0001190     1.0005420   -0.0010361     0.9989498   -0.0006757    -0.0000822    0.0008645 
   0.001006209    -0.0000724    0.0001487     1.0006600   -0.0010946     0.9989341   -0.0007587    -0.0000915    0.0008484 
   0.001012456    -0.0000835    0.0001880     1.0006120   -0.0010210     0.9989257   -0.0007203    -0.0000858    0.0008813 
   0.001018743    -0.0000629    0.0002133     1.0007070   -0.0010972     0.9989703   -0.0007237    -0.0000827    0.0008305 
   0.001025068    -0.0000770    0.0002116     1.0007350   -0.0012194     0.9989146   -0.0007605    -0.0001087    0.0008454 
   0.001031432    -0.0000838    0.0002308     1.0006680   -0.0011654     0.9989582   -0.0007727    -0.0000959    0.0008778 
   0.001037836    -0.0000506    0.0002631     1.0007200   -0.0012194     0.9990177   -0.0007677    -0.0001139    0.0008985 
   0.001044280    -0.0000639    0.0002745     1.0006990   -0.0011782     0.9989645   -0.0008285    -0.0001084    0.0008791 
   0.001050764    -0.0000471    0.0003125     1.0007390   -0.0011691     0.9989372   -0.0007366    -0.0000953    0.0008835 
   0.001057288    -0.0000235    0.0003128     1.0007610   -0.0011758     0.9989316   -0.0008128    -0.0001148    0.0008798 
   0.001063853    -0.0000351    0.0003301     1.0007270   -0.0012424     0.9990076   -0.0008010    -0.0001043    0.0008890 
   0.001070458    -0.0000400    0.0003603     1.0007690   -0.0011757     0.9989511   -0.0007860    -0.0001225    0.0009306 
   0.001077104    -0.0000612    0.0003683     1.0007430   -0.0011590     0.9990417   -0.0008264    -0.0001388    0.0009102 
   0.001083792    -0.0000404    0.0003783     1.0008230   -0.0012530     0.9989754   -0.0007917    -0.0001230    0.0009169 
   0.001090521    -0.0000442    0.0003975     1.0007980   -0.0012173     0.9989619   -0.0009049    -0.0001109    0.0008943 
   0.001097292    -0.0000310    0.0003999     1.0008050   -0.0012513     0.9990239   -0.0008430    -0.0000907    0.0009241 
   0.001104105    -0.0000360    0.0004083     1.0008230   -0.0012278     0.9989930   -0.0009011    -0.0001260    0.0008815 
   0.001110960    -0.0000392    0.0004251     1.0007500   -0.0012119     0.9989001   -0.0008661    -0.0001232    0.0009404 
   0.001117858    -0.0000168    0.0004293     1.0007650   -0.0012200     0.9989050   -0.0008541    -0.0001123    0.0009205 
