! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:16:36 PM
! D:\MESURE_MONTURE_07092022\LIGNE_35MM_4ROGERS.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001000000     0.0000430    0.0005204     1.0009260   -0.0016316     0.9987528   -0.0013906     0.0000532    0.0013755 
   0.001006209     0.0000543    0.0005541     1.0010040   -0.0017215     0.9988052   -0.0014399     0.0000423    0.0013583 
   0.001012456     0.0000342    0.0005912     1.0009510   -0.0016188     0.9987110   -0.0014600     0.0000469    0.0013638 
   0.001018743     0.0000329    0.0006133     1.0009470   -0.0016821     0.9986956   -0.0015111     0.0000496    0.0013497 
   0.001025068     0.0000742    0.0006079     1.0011030   -0.0017969     0.9988210   -0.0013603     0.0000615    0.0013175 
   0.001031432     0.0000802    0.0006304     1.0010390   -0.0017448     0.9988164   -0.0014824     0.0000530    0.0013696 
   0.001037836     0.0000779    0.0006460     1.0011250   -0.0017972     0.9987823   -0.0014870     0.0000411    0.0013562 
   0.001044280     0.0000856    0.0006745     1.0010730   -0.0017359     0.9988253   -0.0015487     0.0000603    0.0013450 
   0.001050764     0.0000911    0.0007107     1.0010800   -0.0018028     0.9987678   -0.0013876     0.0000507    0.0013545 
   0.001057288     0.0001123    0.0007323     1.0010460   -0.0017948     0.9987524   -0.0015580     0.0000220    0.0013689 
   0.001063853     0.0000879    0.0007362     1.0011200   -0.0018377     0.9987832   -0.0015392     0.0000581    0.0013716 
   0.001070458     0.0001000    0.0007706     1.0010870   -0.0018074     0.9987531   -0.0015189     0.0000333    0.0013865 
   0.001077104     0.0001210    0.0007885     1.0011570   -0.0018455     0.9988688   -0.0015966     0.0000329    0.0013852 
   0.001083792     0.0000902    0.0007763     1.0011610   -0.0018351     0.9987668   -0.0015106     0.0000365    0.0013881 
   0.001090521     0.0001102    0.0008155     1.0011180   -0.0018004     0.9987875   -0.0016115     0.0000170    0.0014003 
   0.001097292     0.0001235    0.0008206     1.0011170   -0.0018545     0.9987852   -0.0015730     0.0000435    0.0013998 
   0.001104105     0.0001128    0.0008383     1.0011570   -0.0018134     0.9987649   -0.0016468     0.0000496    0.0013794 
   0.001110960     0.0000953    0.0008526     1.0011190   -0.0018253     0.9987096   -0.0016214     0.0000330    0.0013799 
   0.001117858     0.0001049    0.0008547     1.0011820   -0.0018707     0.9986681   -0.0016020     0.0000164    0.0013796 
   0.001124799     0.0001039    0.0008831     1.0011560   -0.0018421     0.9987525   -0.0016212     0.0000346    0.0014097 
   0.001131782     0.0001395    0.0008610     1.0012160   -0.0017856     0.9987804   -0.0016301     0.0000277    0.0014095 
   0.001138809     0.0001241    0.0009318     1.0011150   -0.0017943     0.9987421   -0.0016142     0.0000340    0.0014195 
   0.001145880     0.0001330    0.0008815     1.0011560   -0.0019344     0.9987727   -0.0017097     0.0000003    0.0014155 
   0.001152995     0.0001174    0.0008996     1.0012360   -0.0018852     0.9987287   -0.0016219     0.0000118    0.0014504 
   0.001160153     0.0001011    0.0009194     1.0011690   -0.0018646     0.9987493   -0.0016926     0.0000519    0.0014356 
   0.001167357     0.0001309    0.0009204     1.0011980   -0.0019245     0.9987672   -0.0017072     0.0000038    0.0014354 
   0.001174605     0.0001394    0.0009274     1.0012050   -0.0018782     0.9987333   -0.0016922     0.0000533    0.0014484 
   0.001181898     0.0001264    0.0009471     1.0011240   -0.0019116     0.9987533   -0.0017025     0.0000198    0.0014415 
   0.001189236     0.0001253    0.0009701     1.0011340   -0.0019108     0.9987985   -0.0017112     0.0000307    0.0014768 
   0.001196620     0.0001139    0.0009544     1.0010760   -0.0019134     0.9987584   -0.0018550     0.0000084    0.0014587 
   0.001204049     0.0001208    0.0009557     1.0011530   -0.0019536     0.9987395   -0.0018145     0.0000361    0.0014609 
   0.001211525     0.0001391    0.0009844     1.0012480   -0.0020143     0.9987966   -0.0017580     0.0000251    0.0014639 
   0.001219047     0.0001505    0.0009744     1.0011320   -0.0018999     0.9987388   -0.0016799     0.0000318    0.0014766 
   0.001226616     0.0001500    0.0009916     1.0012280   -0.0019328     0.9987271   -0.0018250     0.0000423    0.0014752 
   0.001234232     0.0001245    0.0010031     1.0012330   -0.0020728     0.9986843   -0.0017064     0.0000134    0.0015038 
   0.001241895     0.0001406    0.0010303     1.0011990   -0.0019522     0.9986815   -0.0017157     0.0000288    0.0015108 
   0.001249606     0.0001468    0.0010293     1.0012020   -0.0020215     0.9987912   -0.0019010     0.0000148    0.0015043 
   0.001257365     0.0001468    0.0010143     1.0012300   -0.0020209     0.9987031   -0.0018033    -0.0000175    0.0015027 
   0.001265172     0.0001244    0.0010289     1.0011720   -0.0019977     0.9987028   -0.0018236     0.0000257    0.0015137 
   0.001273027     0.0001332    0.0010642     1.0011770   -0.0020809     0.9987047   -0.0018697     0.0000152    0.0014944 
   0.001280931     0.0001262    0.0010745     1.0012180   -0.0020562     0.9987519   -0.0019408     0.0000123    0.0014879 
   0.001288884     0.0001581    0.0010727     1.0011660   -0.0019668     0.9987223   -0.0018681    -0.0000024    0.0015554 
   0.001296887     0.0001655    0.0010747     1.0013330   -0.0020626     0.9987605   -0.0019096    -0.0000053    0.0015416 
   0.001304939     0.0001692    0.0010934     1.0012480   -0.0020863     0.9987605   -0.0018902     0.0000079    0.0015487 
   0.001313041     0.0001207    0.0011032     1.0012260   -0.0021744     0.9987486   -0.0019465     0.0000187    0.0015278 
   0.001321194     0.0001509    0.0011268     1.0012280   -0.0021357     0.9986989   -0.0018741    -0.0000013    0.0015478 
   0.001329397     0.0001469    0.0011426     1.0012330   -0.0020788     0.9987879   -0.0020306     0.0000158    0.0015545 
   0.001337651     0.0001460    0.0011263     1.0012040   -0.0021615     0.9987276   -0.0020348     0.0000105    0.0015567 
   0.001345956     0.0001470    0.0011437     1.0012250   -0.0021625     0.9986920   -0.0019337     0.0000091    0.0015779 
   0.001354313     0.0001719    0.0011662     1.0011710   -0.0021544     0.9987441   -0.0019581    -0.0000160    0.0015669 
   0.001362722     0.0001563    0.0011706     1.0012390   -0.0022033     0.9987448   -0.0021503    -0.0000323    0.0015286 
